id;transactionDate;amount;merchant;code
12291840250;2018/02/01 1:23;-606.15;868652 BLOEMFONTEIN 1;5541
12291845552;2018/02/01 1:37;-35.24;611946 CROSSING QUICK;5499
12291850270;2018/02/01 1:51;-442;355510 CANAL WALK SERV;5541
12291851814;2018/02/01 1:57;-489.08;041391 MINTY TYRES/MAG;5541
12291855658;2018/02/01 2:09;-81.35;356641 N4 PLATINUM CIT;5541
12291855672;2018/02/01 2:09;-807.95;713343 PARADISE.SERVIC;5541
12291856257;2018/02/01 2:11;-100;387810 DELTA MOTORS;5541
12291857935;2018/02/01 2:16;-150.05;480425 THEMBA CONVENIE;5541
12291858195;2018/02/01 2:17;-50.05;105915 MOHLAKENG ENGEN;5541
12291875682;2018/02/01 2:34;-100;080167 HUGHESPARK SERV;5541
12291876423;2018/02/01 2:36;-200;242890 JACK STREET SER;5541
12291877579;2018/02/01 2:38;-200;272970 CASSELDALE FILL;5541
12291878414;2018/02/01 2:40;-508.85;355692 AUTO CARE MOTOR;5541
12291878423;2018/02/01 2:40;-490;670397 SOSHANGUVE S/ST;5541
12291892914;2018/02/01 2:49;-75;5BOP LUGGAGE WRAPPING;5948
12291895289;2018/02/01 2:52;-904.75;908060 CBK TREK IN;5541
12291895876;2018/02/01 2:53;-41.7;353234 LYNNWOOD MOTORS;5541
12291896356;2018/02/01 2:54;-200.07;089689 SIYAYA NUMBI;5541
12292089100;2018/02/01 3:12;-100;032344 BAHATI SERVICE;5541
12292217148;2018/02/01 3:15;-300;669285 MACD TRADE CENT;5541
12292324454;2018/02/01 3:24;-100;697884 PARKHURST CORNE;5541
12292337330;2018/02/01 3:24;-200;901313 GRASMERE 1 STOP;5541
12292377976;2018/02/01 3:27;-824.81;165646 UPINGTON CONVEN;5541
12292437834;2018/02/01 3:30;-300.04;087915 HADAF S/STATION;5541
12292462405;2018/02/01 3:31;-240.8;087915 HADAF S/STATION;5541
12292482093;2018/02/01 3:32;-600;670397 SOSHANGUVE S/ST;5541
12292507278;2018/02/01 3:33;-41.5;348499 BOULEVARD SERVI;5499
12292668961;2018/02/01 3:41;-56;211655 MEERENSEE FILLI;5499
12292711048;2018/02/01 3:43;-147;663936 ZAKARIYYA PARK;5541
12292777573;2018/02/01 3:47;-100;020312 G C GYPSEY;5541
12292765590;2018/02/01 3:47;-21.7;095025 SOUTHWAY CONV C;5499
12292806957;2018/02/01 3:49;-100;081207 TRANSLAND MOTOR;5541
12292799697;2018/02/01 3:49;-600;355932 KINROSS SERVICE;5541
12292801070;2018/02/01 3:49;-380;796765 HIGHWAY SERVICE;5541
12292821661;2018/02/01 3:50;-200;517374 WELGEMOED ENGEN;5541
12292874247;2018/02/01 3:53;-100;201649 SEBOKENG CONVEN;5541
12292934044;2018/02/01 3:56;-250.05;912823 ALIWAL AUTO F/S;5541
12292994818;2018/02/01 3:58;-300;364272 CERES SERV STAT;5541
12293009929;2018/02/01 3:59;-100;608196 MOUNTAINVIEW CO;5541
12293062188;2018/02/01 4:01;-150;358969 S&S FILLING STA;5541
12293116443;2018/02/01 4:02;-300.05;070291 WOODLANDS SERVI;5541
12293098213;2018/02/01 4:02;-100;355346 KWAMASHU SERVIC;5541
12293122834;2018/02/01 4:03;-150.1;617692 ENGINE CLAYVILL;5541
12293122612;2018/02/01 4:03;-200;955459 LA ROCHELLE SER;5541
12293156964;2018/02/01 4:04;-150;177401 ROWHILL SERVICE;5541
12293161728;2018/02/01 4:04;-300;349091 CENTURY CITY S/;5541
12293174253;2018/02/01 4:04;-350.1;588042 BOSS SERVICE ST;5541
12293229164;2018/02/01 4:07;-150.02;715051 DELFI MOTORS;5541
12293233425;2018/02/01 4:07;-100;739341 HAZYVIEW MOTORS;5541
12293255189;2018/02/01 4:08;-200;032583 CHURCHILL SERVI;5499
12293287098;2018/02/01 4:09;-25;114305 NEW SOUTH MAIN;5541
12293288230;2018/02/01 4:09;-100;338078 JEFFS SERVICE S;5541
12293302760;2018/02/01 4:10;-500;348291 ASHLEY MOTORS-F;5541
12293401747;2018/02/01 4:14;-28;056597 BRACKENFELL DIE;5499
12293407456;2018/02/01 4:14;-150.1;753862 IMPALA PETRO PO;5541
12293440600;2018/02/01 4:15;-200;068691 G T SERVICE STA;5541
12293477677;2018/02/01 4:17;-500;191097 ULUNDI CONVENIE;5541
12293471185;2018/02/01 4:17;-438.85;312438 NU SOUTH SERVIC;5541
12293496958;2018/02/01 4:18;-300;436617 PETROSTOP;5541
12293508928;2018/02/01 4:21;-150.1;353291 GALLAGHER GARDE;5541
12293508525;2018/02/01 4:21;-200;394360 TOM & MIKE MOTO;5541
12293512812;2018/02/01 4:22;-200.05;355775 MAIDSTONE SERVI;5541
12293514245;2018/02/01 4:23;-250;050365 VXL MOTORS;5541
12293519582;2018/02/01 4:24;-1021.2;713756 HILTON ROAD GAR;5541
12293529619;2018/02/01 4:25;-18.5;698056 NPNAUTO CENTRE;5499
12293540408;2018/02/01 4:26;-150;041391 MINTY TYRES/MAG;5541
12293544104;2018/02/01 4:27;-100;032583 CHURCHILL SERVI;5499
12293553739;2018/02/01 4:27;-200;924554 GLENHAZEL SERVI;5541
12293558266;2018/02/01 4:28;-660.1;355460 RACHEL DE BEER;5541
12293555719;2018/02/01 4:28;-150.1;359769 VAN RIEBEECK SH;5541
12293567972;2018/02/01 4:29;-200;308436 SUNNINGHILL SER;5541
12293570805;2018/02/01 4:29;-504.85;977966 FOMISS AUTO;5541
12293573570;2018/02/01 4:30;-100;355460 RACHEL DE BEER;5541
12293577391;2018/02/01 4:31;-100;083872 JACKSONS CONVEN;5541
12293577316;2018/02/01 4:31;-69.25;191113 ULUNDI CONVENIE;5499
12293576957;2018/02/01 4:31;-100;387786 CASTLE GARAGE P;5541
12293585990;2018/02/01 4:33;-150.05;079034 AUTO STOP;5541
12293592292;2018/02/01 4:34;-200.1;353531 MASINGITA S/STA;5541
12293596400;2018/02/01 4:35;-250;234350 PRIMROSE SERVIC;5541
12293595047;2018/02/01 4:35;-500;327139 CRYSTALPARK SER;5541
12293601079;2018/02/01 4:36;-600.1;394246 ORANJE DIENSSEN;5541
12293603144;2018/02/01 4:37;-31;355759 MAIDSTONE SERVI;5499
12293614057;2018/02/01 4:39;-188.3;089325 CAPE GATE;5541
12293623082;2018/02/01 4:40;-300;035450 DEL JUDOR SERVI;5541
12293649914;2018/02/01 4:41;-844.1;353531 MASINGITA S/STA;5541
12293634727;2018/02/01 4:41;-153;896059 MIDWAY MEWS;5541
12293670691;2018/02/01 4:42;-80;065625 GLENDENE MOTORS;5541
12293705352;2018/02/01 4:44;-340;353531 MASINGITA S/STA;5541
12293698694;2018/02/01 4:44;-66.3;703845 DORINGKLOOF MOT;5499
12293701586;2018/02/01 4:44;-500.06;722420 MOUNT AYLIFF CO;5541
